unique_registration_roll_number,student_id,certificate_serial_number,institute_type,institute_name,institute_website,accreditation_statement,credential_category,credential_title,issuance_date,convocation_date,year,marks_percent,marks_removed_flag,num_subjects,signed_hash_present,ocr_vs_meta_name_match,ocr_vs_meta_institute_match,ela_score,image_complexity_kb,label,tamper_type,image_file,meta_file,logo_file
ROLL6230688,STU227507,5A533F471FDE43CD,MITS,MITS Gwalior,https://web.mitsgwalior.in/,"Declared under Distinct Category by Ministry of Education, Government of India",Diploma,Diploma in Civil Engineering,22-10-2014,20-04-2015,2016,57.93,0,10,1,90,80,10.94,547.23,genuine,,images/ROLL6230688.jpg,metadata/ROLL6230688.json,"""C:\Users\WINDOWS 11\OneDrive\Pictures\images (1).png"""
ROLL8757577,STU738581,7D68F6E309DC4252,IIIT,IIIT Kota,https://www.iiitkota.edu.in,Institutes of National Importance (Act of Parliament),Degree,B.Tech Computer Science,30-07-2021,26-01-2022,2019,41.76,0,11,1,93,82,10.26,175.35,genuine,,images/ROLL8757577.jpg,metadata/ROLL8757577.json,logos/IIIT_Kota_logo.png
ROLL6967851,STU119311,0DD55E15D6A944DC,PRIVATE,Amrita Vishwa Vidyapeetham,https://www.amritavishwavidyapeetham.edu.in,"Declared under Distinct Category by Ministry of Education, Government of India",Certificate,Professional Certificate: Cloud Architect,20-06-2014,20-06-2014,2022,92.01,0,5,0,87,82,6.96,590.97,genuine,,images/ROLL6967851.jpg,metadata/ROLL6967851.json,logos/Amrita_Vishwa_Vidyapeetham_logo.png
ROLL9293370,STU220321,949A1DC0847C4438,IIIT,IIIT Kota,https://www.iiitkota.edu.in,Recognized by Ministry of Education,ShortCourse,Summer School: Embedded Systems,14-08-2017,10-02-2018,2015,96.17,0,2,1,89,93,19.5,217.84,genuine,,images/ROLL9293370.jpg,metadata/ROLL9293370.json,logos/IIIT_Kota_logo.png
ROLL3816577,STU569106,11C8A94D5AE342D3,IIIT,IIITDM Jabalpur,https://www.iiitdmjabalpur.edu.in,Recognized by Ministry of Education,Certificate,Online Course: Deep Learning Specialization,23-06-2024,20-12-2024,2013,79.05,0,2,0,82,96,9.6,300.18,genuine,,images/ROLL3816577.jpg,metadata/ROLL3816577.json,logos/IIITDM_Jabalpur_logo.png
ROLL5492412,STU378687,E4F51199CE214E0D,IIT,IIT Indore International,https://www.iitindore.edu.in,Institutes of National Importance (Act of Parliament),Degree,M.Tech Computer Science,02-03-2023,02-03-2023,2012,75.88,0,9,1,92,58,14.34084411,375.46,tampered,inst_name_changed,images/ROLL5492412.jpg,metadata/ROLL5492412.json,logos/IIT_Indore_International_logo.png
ROLL2554031,STU952208,634B0BF9E3214C10,IIT,IIT Mandi,https://www.iitmandi.edu.in,Institutes of National Importance (Act of Parliament),Degree,B.Tech Computer Science,21-05-2019,17-11-2019,2021,72.44,0,11,1,79,54,20.16040412,265.15,tampered,metadata_mismatch,images/ROLL2554031.jpg,metadata/ROLL2554031.json,logos/IIT_Mandi_logo.png
ROLL6275332,STU416511,A92A93A7D17F4041,IIT,IIT Hyderabad,https://www.iith.ac.in/,Institutes of National Importance (Act of Parliament),Degree,B.Tech Electronics,05-06-2017,05-06-2017,2015,71.69,0,12,0,94,97,17.42,143.03,genuine,,images/ROLL6275332.jpg,metadata/ROLL6275332.json,logos/IIT_Hyderabad_logo.png
ROLL2667539,STU246668,BEC412B375774673,IIT,IIT Roorkee,https://www.iitr.ac.in/,"Declared under Distinct Category by Ministry of Education, Government of India",Certificate,Workshop: Data Science Bootcamp,27-01-2024,27-01-2024,2025,82.33,0,4,0,92,80,11.39,387.38,genuine,,images/ROLL2667539.jpg,metadata/ROLL2667539.json,logos/IIT_Roorkee_logo.png
ROLL3143966,STU619757,0AC5A43880C644AD,IIT,IIT Ropar,https://www.iitropar.edu.in,"Declared under Distinct Category by Ministry of Education, Government of India",Degree,M.Tech Computer Science,24-05-2011,23-06-2011,2021,52.73,0,7,1,82,84,18.64,879.26,genuine,,images/ROLL3143966.jpg,metadata/ROLL3143966.json,logos/IIT_Ropar_logo.png
ROLL5860537,STU631173,D1464A4497F542D0,NIT,NIT Patna,https://www.nitpatna.edu.in,Institutes of National Importance (Act of Parliament),Certificate,Professional Certificate: Cloud Architect,22-12-2015,21-01-2016,2011,,1,,0,95,97,5.53,267.57,genuine,,images/ROLL5860537.jpg,metadata/ROLL5860537.json,logos/NIT_Patna_logo.png
ROLL9479367,STU592681,E0607D67FC6349F3,IIT,IIT Indore,https://www.iitindore.edu.in,Institutes of National Importance (Act of Parliament),Diploma,PG Diploma in AI & ML,21-09-2023,20-09-2025,2019,52.61,0,7,0,86,96,3.55,366.64,genuine,,images/ROLL9479367.jpg,metadata/ROLL9479367.json,logos/IIT_Indore_logo.png
ROLL6078581,STU738119,88A76406A3B942B6,NIT,NIT Silchar,https://www.nitsilchar.edu.in,Recognized by Ministry of Education,Degree,B.Tech Computer Science,08-09-2014,07-03-2015,2024,90.41,0,12,1,94,93,16.69,525.91,genuine,,images/ROLL6078581.jpg,metadata/ROLL6078581.json,logos/NIT_Silchar_logo.png
ROLL2890791,STU595088,079E671656B34DFC,IIT,IIT Bhilai,https://www.iitbhilai.edu.in,Recognized by Ministry of Education,Diploma,PG Diploma in AI & ML,26-06-2019,25-06-2021,2014,73.55,0,8,1,85,84,36.49008029,260.3445135,tampered,marks_changed,images/ROLL2890791.jpg,metadata/ROLL2890791.json,logos/IIT_Bhilai_logo.png
ROLL9706317,STU646894,152382DCC27741D2,NIT,NIT Patna,https://www.nitpatna.edu.in,"Declared under Distinct Category by Ministry of Education, Government of India",Degree,M.Tech Computer Science,24-03-2014,20-09-2014,2023,59.98,0,6,0,84,89,12.65,662.07,genuine,,images/ROLL9706317.jpg,metadata/ROLL9706317.json,logos/NIT_Patna_logo.png
ROLL4353951,STU648981,0A1BCFABEBC84E52,IIT,IIT Hyderabad,https://www.iith.ac.in/,Institutes of National Importance (Act of Parliament),Certificate,Professional Certificate: Cloud Architect,30-09-2025,30-09-2025,2025,,1,,1,80,86,15.21,114.62,genuine,,images/ROLL4353951.jpg,metadata/ROLL4353951.json,logos/IIT_Hyderabad_logo.png
ROLL1050696,STU158959,D8790B033A144A59,GFTI,BIT Mesra,https://www.bitmesra.edu.in,"Declared under Distinct Category by Ministry of Education, Government of India",ShortCourse,Summer School: Embedded Systems,29-03-2010,25-09-2010,2014,,1,,0,87,86,15.72,104.41,genuine,,images/ROLL1050696.jpg,metadata/ROLL1050696.json,logos/BIT_Mesra_logo.png
ROLL5327594,STU236096,5EFA56847201499E,NIT,NIT Jamshedpur,https://www.nitjamshedpur.edu.in,Recognized by Ministry of Education,Degree,MBA,14-03-2019,13-03-2021,2016,60.56,0,11,1,94,87,3.58,863.15,genuine,,images/ROLL5327594.jpg,metadata/ROLL5327594.json,logos/NIT_Jamshedpur_logo.png
ROLL9849521,STU707039,12ABB6E7558C416D,IIT,IIT Palakkad,https://www.iitpalakkad.edu.in,Recognized by Ministry of Education,ShortCourse,Summer School: Embedded Systems,22-04-2013,22-04-2014,2011,,1,,0,93,85,4.8,709.48,genuine,,images/ROLL9849521.jpg,metadata/ROLL9849521.json,logos/IIT_Palakkad_logo.png
ROLL3356403,STU187039,D626A422CB224368,IIT,IIT BHU Varanasi,https://www.iitbhuvaranasi.edu.in,Institutes of National Importance (Act of Parliament),Degree,B.Tech Electronics,11-07-2017,11-07-2017,2011,78.58,0,6,1,89,89,9.32,830.35,genuine,,images/ROLL3356403.jpg,metadata/ROLL3356403.json,logos/IIT_BHU_Varanasi_logo.png
ROLL6307132,STU742432,058C8BD10F994894,GFTI,CET Bhubaneswar,https://www.cetbhubaneswar.edu.in,Accredited by AICTE,Degree,B.Tech Electronics,05-07-2016,05-07-2016,2012,67.45,0,10,1,89,88,11.97,589.12,genuine,,images/ROLL6307132.jpg,metadata/ROLL6307132.json,logos/CET_Bhubaneswar_logo.png
ROLL6113291,STU774677,6449A99B7FDB4C62,IIIT,IIIT Hyderabad,https://www.iiithyderabad.edu.in,Institutes of National Importance (Act of Parliament),Diploma,Diploma in Civil Engineering,03-10-2024,03-10-2024,2012,67.01,0,7,1,87,87,12.73,658.36,genuine,,images/ROLL6113291.jpg,metadata/ROLL6113291.json,logos/IIIT_Hyderabad_logo.png
ROLL4035550,STU408428,36473C3D81944234,PRIVATE,BITS Pilani,https://www.bitspilani.edu.in,Accredited by NAAC A Grade,Degree,MBA,30-07-2019,29-07-2020,2011,57.08,0,12,1,93,83,18.24,460.18,genuine,,images/ROLL4035550.jpg,metadata/ROLL4035550.json,logos/BITS_Pilani_logo.png
ROLL2258194,STU145883,A2B7DD6CDA434278,GFTI,BIT Mesra,https://www.bitmesra.edu.in,Accredited by AICTE,Certificate,Online Course: Deep Learning Specialization,30-09-2020,30-09-2020,2020,,1,,1,89,90,11.55,353.8,genuine,,images/ROLL2258194.jpg,metadata/ROLL2258194.json,logos/BIT_Mesra_logo.png
ROLL9275402,STU349206,7466A800FEB74F78,IIT,IIT Kanpur,https://www.iitkanpur.edu.in,Institutes of National Importance (Act of Parliament),Diploma,Diploma in Civil Engineering,03-02-2024,03-02-2024,2012,50.61,0,11,0,97,88,19.62,773.32,genuine,,images/ROLL9275402.jpg,metadata/ROLL9275402.json,logos/IIT_Kanpur_logo.png
ROLL1260766,STU996276,7F1583D6A7274529,IIIT,IIIT Kota,https://www.iiitkota.edu.in,Institutes of National Importance (Act of Parliament),Degree,M.Tech Computer Science,23-04-2014,23-04-2014,2010,52.39,0,8,1,87,97,7.7,492.01,tampered,serial_reused,images/ROLL1260766.jpg,metadata/ROLL1260766.json,logos/IIIT_Kota_logo.png
ROLL1456653,STU203876,486BAAFC9CF04DEE,GFTI,CET Bhubaneswar,https://www.cetbhubaneswar.edu.in,Accredited by AICTE,Certificate,Workshop: Data Science Bootcamp,04-04-2014,01-10-2014,2017,93.08,0,4,1,87,97,4.17,303.62,genuine,,images/ROLL1456653.jpg,metadata/ROLL1456653.json,logos/CET_Bhubaneswar_logo.png
ROLL7958146,STU548688,DF5C4BB93C264563,NIT,NIT Kurukshetra,https://www.nitkurukshetra.edu.in,Recognized by Ministry of Education,Certificate,Professional Certificate: Cloud Architect,16-01-2022,16-01-2024,2025,85.92,0,2,1,96,97,12.96,259.23,genuine,,images/ROLL7958146.jpg,metadata/ROLL7958146.json,logos/NIT_Kurukshetra_logo.png
ROLL6195130,STU481376,DB2BDFBB462640C8,IIT,IIT Madras,https://www.iitmadras.edu.in,"Declared under Distinct Category by Ministry of Education, Government of India",Degree,B.Tech Computer Science,27-04-2022,27-04-2022,2021,66.14,0,8,1,89,92,6.54,777.7,genuine,,images/ROLL6195130.jpg,metadata/ROLL6195130.json,logos/IIT_Madras_logo.png
ROLL1591806,STU651483,22D328436F954A36,PRIVATE,IIIT Bangalore (Private),https://www.iiitbangalore(private).edu.in,Institutes of National Importance (Act of Parliament),Certificate,Professional Certificate: Cloud Architect,21-09-2012,21-09-2012,2015,98.22,0,3,0,89,87,3.73,729.69,genuine,,images/ROLL1591806.jpg,metadata/ROLL1591806.json,logos/IIIT_Bangalore_(Private)_logo.png
ROLL6656766,STU938686,5D2C247A19A94887,PRIVATE,BITS Pilani,https://www.bitspilani.edu.in,Institutes of National Importance (Act of Parliament),Degree,B.Tech Electronics,27-06-2010,26-06-2012,2022,51.5,0,8,0,87,86,2.67,604.07,genuine,,images/ROLL6656766.jpg,metadata/ROLL6656766.json,logos/BITS_Pilani_logo.png
ROLL3949884,STU940968,270A74223CF147ED,NIT,NIT Rourkela,https://www.nitrkl.ac.in/,"Declared under Distinct Category by Ministry of Education, Government of India",Certificate,Professional Certificate: Cloud Architect,08-12-2014,08-12-2014,2015,95.08,0,4,1,92,84,5.03,307.98,genuine,,images/ROLL3949884.jpg,metadata/ROLL3949884.json,logos/NIT_Rourkela_logo.png
ROLL2171242,STU671838,352F68E5C4AA448B,IIT,IIT Hyderabad,https://www.iith.ac.in/,Recognized by Ministry of Education,Degree,MBA,14-12-2022,14-12-2022,2022,71.32,0,12,1,95,95,8.11,770.66,genuine,,images/ROLL2171242.jpg,metadata/ROLL2171242.json,logos/IIT_Hyderabad_logo.png
ROLL3934746,STU760105,C4C63E9AC5854D8C,IIT,IIT Bhilai,https://www.iitbhilai.edu.in,Recognized by Ministry of Education,Degree,B.Tech Computer Science,11-10-2013,11-10-2013,2015,57.87,0,7,1,90,80,2.65,803.93,genuine,,images/ROLL3934746.jpg,metadata/ROLL3934746.json,logos/IIT_Bhilai_logo.png
ROLL3796978,STU977196,BC352D3537C24D39,IIIT,IIIT Bangalore,https://www.iiitbangalore.edu.in,"Declared under Distinct Category by Ministry of Education, Government of India",Degree,MBA,24-01-2012,23-01-2014,2019,,1,9,1,95,91,28.47265847,412.8,tampered,marks_removed,images/ROLL3796978.jpg,metadata/ROLL3796978.json,logos/IIIT_Bangalore_logo.png
ROLL1292357,STU465063,89910D3205464CD5,IIT,IIT Palakkad,https://www.iitpalakkad.edu.in,Institutes of National Importance (Act of Parliament),Certificate,Online Course: Deep Learning Specialization,17-09-2013,16-03-2014,2017,,1,,0,91,90,11.14,189.14,tampered,marks_changed,images/ROLL1292357.jpg,metadata/ROLL1292357.json,logos/IIT_Palakkad_logo.png
ROLL1290749,STU322024,AD0CF23CF53E480A,IIIT,IIIT Bangalore,https://www.iiitbangalore.edu.in,"Declared under Distinct Category by Ministry of Education, Government of India",Degree,MBA,12-02-2023,12-02-2024,2018,63.3,0,8,1,80,81,4.07,236.46,genuine,,images/ROLL1290749.jpg,metadata/ROLL1290749.json,logos/IIIT_Bangalore_logo.png
ROLL1885142,STU174198,7BA02652E4164251,IIT,IIT Patna,https://www.iitpatna.edu.in,"Declared under Distinct Category by Ministry of Education, Government of India",ShortCourse,Summer School: Embedded Systems,14-07-2015,13-07-2017,2019,,1,,1,87,83,4.37,762.88,genuine,,images/ROLL1885142.jpg,metadata/ROLL1885142.json,logos/IIT_Patna_logo.png
ROLL1583484,STU728207,58BB9EF125194C90,PRIVATE,IIIT Bangalore (Private),https://www.iiitbangalore(private).edu.in,Accredited by NAAC A Grade,Certificate,Workshop: Data Science Bootcamp,09-11-2024,09-11-2025,2025,89.25,0,3,1,89,97,8.76,422.74,genuine,,images/ROLL1583484.jpg,metadata/ROLL1583484.json,logos/IIIT_Bangalore_(Private)_logo.png
ROLL4774117,STU557191,E04140D3FC7A473C,PRIVATE,VIT Vellore,https://www.vitvellore.edu.in,Accredited by NAAC A Grade,Diploma,Diploma in Civil Engineering,28-05-2010,27-06-2010,2021,53.68,0,9,1,93,91,15.67,132.7,genuine,,images/ROLL4774117.jpg,metadata/ROLL4774117.json,logos/VIT_Vellore_logo.png
ROLL8440831,STU504501,020B4513B24C47A4,NIT,NIT Raipur,https://www.nitrr.ac.in/,Recognized by Ministry of Education,Certificate,Professional Certificate: Cloud Architect,17-12-2024,17-12-2024,2020,83.35,0,4,1,81,87,18.18,411.14,genuine,,images/ROLL8440831.jpg,metadata/ROLL8440831.json,logos/NIT_Raipur_logo.png
ROLL3068155,STU847989,2C4E970CCE5544DD,IIIT,IIIT Guwahati,https://www.iiitguwahati.edu.in,"Declared under Distinct Category by Ministry of Education, Government of India",Certificate,Workshop: Data Science Bootcamp,17-05-2010,16-05-2012,2018,,1,,0,80,80,6.2,450.06,genuine,,images/ROLL3068155.jpg,metadata/ROLL3068155.json,logos/IIIT_Guwahati_logo.png
ROLL7692790,STU527625,34812088E5BE417D,PRIVATE,VIT Vellore,https://www.vitvellore.edu.in,Accredited by ABET,Degree,MBA,18-08-2017,17-09-2017,2025,74.98,0,12,1,92,91,9.3,131.42,genuine,,images/ROLL7692790.jpg,metadata/ROLL7692790.json,logos/VIT_Vellore_logo.png
ROLL3549047,STU976524,BE5F5E6E33E94D26,NIT,NIT Jamshedpur,https://www.nitjamshedpur.edu.in,Recognized by Ministry of Education,Degree,B.Tech Electronics,27-10-2022,26-10-2024,2014,70.52,0,7,1,81,86,7.69,803.84,genuine,,images/ROLL3549047.jpg,metadata/ROLL3549047.json,logos/NIT_Jamshedpur_logo.png
ROLL3000419,STU556548,14915FD487FC4D1D,NIT,NIT Jamshedpur,https://www.nitjamshedpur.edu.in,Recognized by Ministry of Education,Certificate,Online Course: Deep Learning Specialization,31-10-2017,31-10-2019,2021,,1,,1,93,85,2.15,275.52,genuine,,images/ROLL3000419.jpg,metadata/ROLL3000419.json,logos/NIT_Jamshedpur_logo.png
ROLL7878220,STU268525,043EBF8238C84D2F,PRIVATE,IIIT Bangalore (Private),https://www.iiitbangalore(private).edu.in,Recognized by Ministry of Education,Degree,M.Tech Computer Science,23-03-2021,23-03-2021,2021,74.77,0,9,1,97,91,18.83,532.03,genuine,,images/ROLL7878220.jpg,metadata/ROLL7878220.json,logos/IIIT_Bangalore_(Private)_logo.png
ROLL8213909,STU319837,F2A7E208BD5346ED,IIT,IIT Jodhpur,https://www.iitjodhpur.edu.in,"Declared under Distinct Category by Ministry of Education, Government of India",Certificate,Online Course: Deep Learning Specialization,22-10-2024,22-10-2024,2015,,1,,1,98,91,15.96,642,genuine,,images/ROLL8213909.jpg,metadata/ROLL8213909.json,logos/IIT_Jodhpur_logo.png
ROLL2652455,STU904018,B0B2519FE65640BE,IIT,IIT Tirupati,https://www.iittirupati.edu.in,"Declared under Distinct Category by Ministry of Education, Government of India",Diploma,Diploma in Civil Engineering,01-06-2010,01-06-2010,2020,67.94,0,9,0,81,97,12.77,434,genuine,,images/ROLL2652455.jpg,metadata/ROLL2652455.json,logos/IIT_Tirupati_logo.png
ROLL9508093,STU344558,B326E5FB1240475E,IIIT,IIITDM Jabalpur,https://www.iiitdmjabalpur.edu.in,Institutes of National Importance (Act of Parliament),Diploma,Diploma in Civil Engineering,04-08-2012,04-08-2012,2016,56.85,0,8,0,86,96,6.76,167.98,tampered,serial_reused,images/ROLL9508093.jpg,metadata/ROLL9508093.json,logos/IIITDM_Jabalpur_logo.png
ROLL7478541,STU377512,4269AF90AA114F7E,GFTI,MNNIT  Allahabad,https://www.mnnit.ac.in/,Accredited by AICTE,Certificate,Online Course: Deep Learning Specialization,04-03-2013,04-03-2013,2015,,1,,0,84,95,4.09,851.95,tampered,serial_reused,images/ROLL7478541.jpg,metadata/ROLL7478541.json,logos/MNNIT_Allahabad_logo.png
ROLL1084867,STU654986,D75B147E97C243EF,NIT,NIT Silchar,https://www.nitsilchar.edu.in,Recognized by Ministry of Education,Degree,B.Tech Electronics,20-06-2017,20-06-2019,2021,64.01,0,11,1,95,85,14.57,196.41,genuine,,images/ROLL1084867.jpg,metadata/ROLL1084867.json,logos/NIT_Silchar_logo.png
ROLL8637529,STU836823,31E483CCFF24439F,IIT,IIT Patna,https://www.iitpatna.edu.in,Recognized by Ministry of Education,Degree,B.Tech Computer Science,10-09-2017,09-03-2018,2011,80.84,0,10,1,87,80,8.69,577.68,genuine,,images/ROLL8637529.jpg,metadata/ROLL8637529.json,logos/IIT_Patna_logo.png
ROLL6205699,STU279462,34B46F39279F43BE,IIT,IIT Madras,https://www.iitmadras.edu.in,Recognized by Ministry of Education,Diploma,Diploma in Civil Engineering,16-07-2021,16-07-2021,2017,69.71,0,8,1,96,85,5.53,141.27,genuine,,images/ROLL6205699.jpg,metadata/ROLL6205699.json,logos/IIT_Madras_logo.png
ROLL7752087,STU330405,18CD2C22CDD04F1D,PRIVATE,VIT Vellore,https://www.vitvellore.edu.in,Institutes of National Importance (Act of Parliament),ShortCourse,Summer School: Embedded Systems,10-11-2019,10-11-2019,2017,,1,,1,96,86,12.24,696.64,genuine,,images/ROLL7752087.jpg,metadata/ROLL7752087.json,logos/VIT_Vellore_logo.png
ROLL2224008,STU713325,0371F13EC67D4705,NIT,NIT Calicut,https://www.nitcalicut.edu.in,Recognized by Ministry of Education,Certificate,Professional Certificate: Cloud Architect,03-01-2023,03-01-2023,2013,88,0,3,0,81,91,3.23,140.22,tampered,serial_reused,images/ROLL2224008.jpg,metadata/ROLL2224008.json,logos/NIT_Calicut_logo.png
ROLL5860908,STU993214,BFC06313DCC1486C,IIT,IIT Jodhpur,https://www.iitjodhpur.edu.in,Recognized by Ministry of Education,ShortCourse,Summer School: Embedded Systems,26-02-2011,25-02-2013,2023,,1,,0,83,95,15.13,828.86,genuine,,images/ROLL5860908.jpg,metadata/ROLL5860908.json,logos/IIT_Jodhpur_logo.png
ROLL5236135,STU468981,4DF40D2FF7284279,NIT,NIT Kurukshetra,https://www.nitkurukshetra.edu.in,Institutes of National Importance (Act of Parliament),Degree,B.Tech Electronics,15-12-2014,15-12-2015,2024,,1,8,1,88,96,22.79542199,182.42,tampered,marks_removed,images/ROLL5236135.jpg,metadata/ROLL5236135.json,logos/NIT_Kurukshetra_logo.png
ROLL4712266,STU550068,241E1C2328E5418B,PRIVATE,Amrita Vishwa Vidyapeetham,https://www.amritavishwavidyapeetham.edu.in,"Declared under Distinct Category by Ministry of Education, Government of India",Certificate,Workshop: Data Science Bootcamp,19-03-2014,19-03-2014,2010,,1,,1,88,84,2.96,800.73,genuine,,images/ROLL4712266.jpg,metadata/ROLL4712266.json,logos/Amrita_Vishwa_Vidyapeetham_logo.png
ROLL1707974,STU911368,981B964BFC574A8E,IIIT,IIIT Guwahati,https://www.iiitguwahati.edu.in,"Declared under Distinct Category by Ministry of Education, Government of India",Diploma,Diploma in Civil Engineering,07-06-2012,07-07-2012,2016,71.47,0,12,0,96,94,2.32,665,genuine,,images/ROLL1707974.jpg,metadata/ROLL1707974.json,logos/IIIT_Guwahati_logo.png
ROLL4528553,STU207145,76B8051BE7EA437C,NIT,NIT Raipur,https://www.nitrr.ac.in/,Recognized by Ministry of Education,ShortCourse,Summer School: Embedded Systems,14-08-2011,13-08-2012,2015,93.37,0,6,1,96,86,4.63,519.4,genuine,,images/ROLL4528553.jpg,metadata/ROLL4528553.json,logos/NIT_Raipur_logo.png
ROLL7773333,STU137730,B0CB29F72F494AFF,IIT,IIT Kharagpur,https://www.iitkharagpur.edu.in,Recognized by Ministry of Education,Certificate,Professional Certificate: Cloud Architect,13-01-2025,13-01-2025,2013,,1,,1,89,83,5.84,475.62,genuine,,images/ROLL7773333.jpg,metadata/ROLL7773333.json,logos/IIT_Kharagpur_logo.png
ROLL1906732,STU747233,0BF26D42813C4CFD,PRIVATE,Manipal Institute of Technology,https://www.manipalinstituteoftechnology.edu.in,Accredited by NAAC A Grade,Degree,B.Tech Electronics,17-01-2023,16-01-2025,2011,50.28,0,10,1,70,59,27.29518902,588.67,tampered,metadata_mismatch,images/ROLL1906732.jpg,metadata/ROLL1906732.json,logos/Manipal_Institute_of_Technology_logo.png
ROLL4681918,STU361730,9827356C89B44B1D,NIT,MNNIT  Allahabad,https://www.mnnit.ac.in/,"Declared under Distinct Category by Ministry of Education, Government of India",Certificate,Workshop: Data Science Bootcamp,19-08-2022,19-08-2022,2014,,1,,0,90,91,23.37815853,288.2,tampered,marks_removed,images/ROLL4681918.jpg,metadata/ROLL4681918.json,logos/NIT_Allahabad_logo.png
ROLL2435621,STU138206,2A0C379C2D4B44ED,IIT,IIT Ropar,https://www.iitropar.edu.in,"Declared under Distinct Category by Ministry of Education, Government of India",Certificate,Professional Certificate: Cloud Architect,04-12-2025,04-12-2025,2024,87.5,0,4,0,81,98,18.73,704.05,genuine,,images/ROLL2435621.jpg,metadata/ROLL2435621.json,logos/IIT_Ropar_logo.png
ROLL2545583,STU641945,65A700C3A61C4292,PRIVATE,Manipal Institute of Technology,https://www.manipalinstituteoftechnology.edu.in,Accredited by NAAC A Grade,Diploma,Diploma in Civil Engineering,08-07-2024,07-08-2024,2014,70.7,0,8,1,81,82,45.54318291,317.5169238,tampered,marks_changed,images/ROLL2545583.jpg,metadata/ROLL2545583.json,logos/Manipal_Institute_of_Technology_logo.png
ROLL4967676,STU421415,A3D2F0E5BB034EEF,IIT,IIT Kharagpur,https://www.iitkharagpur.edu.in,Recognized by Ministry of Education,Diploma,PG Diploma in AI & ML,15-01-2023,15-01-2023,2021,65.39,0,7,1,95,98,16.88,374.45,genuine,,images/ROLL4967676.jpg,metadata/ROLL4967676.json,logos/IIT_Kharagpur_logo.png
ROLL1134926,STU949165,1FD382048F38440D,NIT,NIT Patna,https://www.nitpatna.edu.in,"Declared under Distinct Category by Ministry of Education, Government of India",Degree,B.Tech Computer Science,16-09-2025,16-09-2025,2023,61.83,0,12,1,97,83,19.24,204.98,genuine,,images/ROLL1134926.jpg,metadata/ROLL1134926.json,logos/NIT_Patna_logo.png
ROLL2118602,STU479899,BAABFBB900724AFD,IIT,IIT Kharagpur,https://www.iitkharagpur.edu.in,"Declared under Distinct Category by Ministry of Education, Government of India",Degree,MBA,17-01-2022,17-01-2022,2014,74.54,0,7,1,92,95,4.69,266.92,genuine,,images/ROLL2118602.jpg,metadata/ROLL2118602.json,logos/IIT_Kharagpur_logo.png
ROLL3211300,STU153573,71481AB83E4E44A6,GFTI,MNNIT  Allahabad,https://www.mnnit.ac.in/,Accredited by AICTE,ShortCourse,Summer School: Embedded Systems,11-10-2017,11-10-2017,2020,87.5,0,1,0,98,84,19.25,366.43,genuine,,images/ROLL3211300.jpg,metadata/ROLL3211300.json,logos/MNNIT_Allahabad_logo.png
ROLL4762390,STU150775,5A5F7B4D50E046EE,IIT,IIT Kharagpur,https://www.iitkharagpur.edu.in,Institutes of National Importance (Act of Parliament),Certificate,Workshop: Data Science Bootcamp,11-02-2021,11-02-2022,2015,,1,,1,84,86,9.37,322.24,genuine,,images/ROLL4762390.jpg,metadata/ROLL4762390.json,logos/IIT_Kharagpur_logo.png
ROLL1792134,STU899169,72DF6916FD79445B,NIT,NIT Rourkela,https://www.nitrkl.ac.in/,Recognized by Ministry of Education,Diploma,PG Diploma in AI & ML,02-10-2020,31-03-2021,2021,91.22,0,9,1,91,93,31.01359093,171.9586161,tampered,marks_changed,images/ROLL1792134.jpg,metadata/ROLL1792134.json,logos/NIT_Rourkela_logo.png
ROLL3997467,STU696132,F4CF7165C11F4E6A,IIIT,IIIT Bangalore,https://www.iiitbangalore.edu.in,Institutes of National Importance (Act of Parliament),Certificate,Professional Certificate: Cloud Architect,17-03-2016,17-03-2016,2025,85.05,0,6,1,90,90,4.33,563.01,genuine,,images/ROLL3997467.jpg,metadata/ROLL3997467.json,logos/IIIT_Bangalore_logo.png
ROLL8445085,STU118440,FDBCBEC425844B23,PRIVATE,BITS Pilani,https://www.bitspilani.edu.in,Accredited by ABET,Degree,M.Tech Computer Science,25-09-2025,25-09-2027,2013,66.41,0,12,1,91,82,8.78,155.46,genuine,,images/ROLL8445085.jpg,metadata/ROLL8445085.json,logos/BITS_Pilani_logo.png
ROLL5606869,STU809492,AD454D5A035D41F6,MITS,MITS Gwalior,https://web.mitsgwalior.in/,Recognized by Ministry of Education,Degree,B.Tech Computer Science,09-07-2014,09-07-2014,2020,71.81,0,6,1,85,82,18.74,228.72,genuine,,images/ROLL5606869.jpg,metadata/ROLL5606869.json,"""C:\Users\WINDOWS 11\OneDrive\Pictures\images (1).png"""
ROLL6652461,STU784909,64659C3365D74136,NIT,NIT Jamshedpur,https://www.nitjamshedpur.edu.in,"Declared under Distinct Category by Ministry of Education, Government of India",Degree,B.Tech Electronics,27-05-2024,26-06-2024,2023,76.08,0,12,1,88,97,8.52,809.37,genuine,,images/ROLL6652461.jpg,metadata/ROLL6652461.json,logos/NIT_Jamshedpur_logo.png
ROLL1722843,STU449857,362EE15848134E2B,IIT,IIT Guwahati,https://www.iitg.ac.in/,"Declared under Distinct Category by Ministry of Education, Government of India",Degree,M.Tech Computer Science,16-11-2017,16-12-2017,2013,89.77,0,11,1,87,81,14.64,393.51,genuine,,images/ROLL1722843.jpg,metadata/ROLL1722843.json,logos/IIT_Guwahati_logo.png
